category,topic,question,answer,keywords,priority
islamic,"Hukum Hipnoterapi","Apakah hipnoterapi halal?","Hipnoterapi untuk tujuan penyembuhan adalah halal. Ulama sepakat bahwa berobat dengan metode yang tidak bertentangan dengan syariat diperbolehkan. Yang haram adalah hipnosis untuk hiburan atau merugikan orang lain.","halal,haram,hukum",10
islamic,"Dalil Berobat","Apa dalil tentang berobat?","Rasulullah SAW bersabda: Setiap penyakit ada obatnya. Jika obat yang tepat diberikan dengan izin Allah, penyakit akan sembuh (HR. Muslim). Ini menunjukkan anjuran untuk berobat.","dalil,hadits,berobat",9
islamic,"Asmaul Husna dalam Terapi","Bagaimana Asmaul Husna digunakan?","Asmaul Husna diintegrasikan dalam terapi untuk menguatkan spiritualitas dan ketenangan jiwa. Klien dipandu berdzikir dalam kondisi relaksasi mendalam, memaksimalkan manfaat spiritual dan psikologis. Semua dilakukan sadar penuh.","asmaul husna,dzikir,spiritual",8
islamic,"Tasbih dalam Terapi","Bagaimana Tasbih digunakan?","Tasbih diintegrasikan dalam terapi untuk menenangkan pikiran dan hati. Klien dipandu berdzikir dalam kondisi relaksasi mendalam, memaksimalkan manfaat spiritual dan psikologis. Semua dilakukan sadar penuh.","tasbih,dzikir,spiritual",8
islamic,"Istigfar dalam Terapi","Bagaimana Istigfar digunakan?","Istigfar diintegrasikan dalam terapi untuk membersihkan jiwa dari beban dosa. Klien dipandu berdzikir dalam kondisi relaksasi mendalam, memaksimalkan manfaat spiritual dan psikologis. Semua dilakukan sadar penuh.","istigfar,dzikir,spiritual",8
islamic,"Sholawat dalam Terapi","Bagaimana Sholawat digunakan?","Sholawat diintegrasikan dalam terapi untuk mendatangkan keberkahan. Klien dipandu berdzikir dalam kondisi relaksasi mendalam, memaksimalkan manfaat spiritual dan psikologis. Semua dilakukan sadar penuh.","sholawat,dzikir,spiritual",8
islamic,"Tahlil dalam Terapi","Bagaimana Tahlil digunakan?","Tahlil diintegrasikan dalam terapi untuk menguatkan iman dan ketenangan. Klien dipandu berdzikir dalam kondisi relaksasi mendalam, memaksimalkan manfaat spiritual dan psikologis. Semua dilakukan sadar penuh.","tahlil,dzikir,spiritual",8
pricing,"Harga Hipnoterapi Anak","Berapa harga Hipnoterapi Anak?","Hipnoterapi Anak: Rp 500.000 per sesi (60-90 menit). Cocok untuk anak 5-12 tahun. Termasuk konsultasi, terapi, dan follow-up guidance.","hipnoterapi,anak,harga,biaya",8
pricing,"Durasi Hipnoterapi Anak","Berapa lama Hipnoterapi Anak?","Durasi Hipnoterapi Anak adalah 60-90 menit per sesi. Mencakup konsultasi awal, proses terapi, dan evaluasi hasil.","hipnoterapi,anak,durasi,lama",6
pricing,"Harga Hipnoterapi Remaja","Berapa harga Hipnoterapi Remaja?","Hipnoterapi Remaja: Rp 500.000 per sesi (90-120 menit). Cocok untuk remaja 13-18 tahun. Termasuk konsultasi, terapi, dan follow-up guidance.","hipnoterapi,remaja,harga,biaya",8
pricing,"Durasi Hipnoterapi Remaja","Berapa lama Hipnoterapi Remaja?","Durasi Hipnoterapi Remaja adalah 90-120 menit per sesi. Mencakup konsultasi awal, proses terapi, dan evaluasi hasil.","hipnoterapi,remaja,durasi,lama",6
pricing,"Harga Manajemen Stress","Berapa harga Manajemen Stress?","Manajemen Stress: Rp 500.000 per sesi (90-120 menit). Cocok untuk stress dan kecemasan. Termasuk konsultasi, terapi, dan follow-up guidance.","manajemen,stress,harga,biaya",8
pricing,"Durasi Manajemen Stress","Berapa lama Manajemen Stress?","Durasi Manajemen Stress adalah 90-120 menit per sesi. Mencakup konsultasi awal, proses terapi, dan evaluasi hasil.","manajemen,stress,durasi,lama",6
pricing,"Harga Trauma Healing","Berapa harga Trauma Healing?","Trauma Healing: Rp 600.000 per sesi (120-150 menit). Cocok untuk trauma dan PTSD. Termasuk konsultasi, terapi, dan follow-up guidance.","trauma,healing,harga,biaya",8
pricing,"Durasi Trauma Healing","Berapa lama Trauma Healing?","Durasi Trauma Healing adalah 120-150 menit per sesi. Mencakup konsultasi awal, proses terapi, dan evaluasi hasil.","trauma,healing,durasi,lama",6
pricing,"Harga Konseling Pasangan","Berapa harga Konseling Pasangan?","Konseling Pasangan: Rp 700.000 per sesi (90-120 menit). Cocok untuk masalah hubungan. Termasuk konsultasi, terapi, dan follow-up guidance.","konseling,pasangan,harga,biaya",8
pricing,"Durasi Konseling Pasangan","Berapa lama Konseling Pasangan?","Durasi Konseling Pasangan adalah 90-120 menit per sesi. Mencakup konsultasi awal, proses terapi, dan evaluasi hasil.","konseling,pasangan,durasi,lama",6
pricing,"Harga Konseling Online","Berapa harga Konseling Online?","Konseling Online: Rp 400.000 per sesi (60-90 menit). Cocok untuk via video call. Termasuk konsultasi, terapi, dan follow-up guidance.","konseling,online,harga,biaya",8
pricing,"Durasi Konseling Online","Berapa lama Konseling Online?","Durasi Konseling Online adalah 60-90 menit per sesi. Mencakup konsultasi awal, proses terapi, dan evaluasi hasil.","konseling,online,durasi,lama",6
pricing,"Harga Fobia Treatment","Berapa harga Fobia Treatment?","Fobia Treatment: Rp 550.000 per sesi (90-120 menit). Cocok untuk berbagai jenis fobia. Termasuk konsultasi, terapi, dan follow-up guidance.","fobia,treatment,harga,biaya",8
pricing,"Durasi Fobia Treatment","Berapa lama Fobia Treatment?","Durasi Fobia Treatment adalah 90-120 menit per sesi. Mencakup konsultasi awal, proses terapi, dan evaluasi hasil.","fobia,treatment,durasi,lama",6
pricing,"Harga Insomnia Treatment","Berapa harga Insomnia Treatment?","Insomnia Treatment: Rp 550.000 per sesi (90-120 menit). Cocok untuk gangguan tidur. Termasuk konsultasi, terapi, dan follow-up guidance.","insomnia,treatment,harga,biaya",8
pricing,"Durasi Insomnia Treatment","Berapa lama Insomnia Treatment?","Durasi Insomnia Treatment adalah 90-120 menit per sesi. Mencakup konsultasi awal, proses terapi, dan evaluasi hasil.","insomnia,treatment,durasi,lama",6
pricing,"Harga Quit Smoking","Berapa harga Quit Smoking?","Quit Smoking: Rp 600.000 per sesi (90-120 menit). Cocok untuk berhenti merokok. Termasuk konsultasi, terapi, dan follow-up guidance.","quit,smoking,harga,biaya",8
pricing,"Durasi Quit Smoking","Berapa lama Quit Smoking?","Durasi Quit Smoking adalah 90-120 menit per sesi. Mencakup konsultasi awal, proses terapi, dan evaluasi hasil.","quit,smoking,durasi,lama",6
pricing,"Harga Weight Management","Berapa harga Weight Management?","Weight Management: Rp 550.000 per sesi (90-120 menit). Cocok untuk manajemen berat badan. Termasuk konsultasi, terapi, dan follow-up guidance.","weight,management,harga,biaya",8
pricing,"Durasi Weight Management","Berapa lama Weight Management?","Durasi Weight Management adalah 90-120 menit per sesi. Mencakup konsultasi awal, proses terapi, dan evaluasi hasil.","weight,management,durasi,lama",6
pricing,"Paket 3 Sesi","Berapa harga paket 3 Sesi?","Paket 3 Sesi dengan diskon 10%. Direkomendasikan untuk masalah ringan-sedang. Lebih ekonomis dan memberikan hasil optimal dengan konsistensi terapi selama 1-2 bulan.","paket,3,sesi,diskon",7
pricing,"Durasi Paket 3 Sesi","Berapa lama paket 3 Sesi?","Paket 3 Sesi biasanya diselesaikan dalam 1-2 bulan, tergantung progress dan kebutuhan klien.","paket,3,sesi,diskon",6
pricing,"Paket 5 Sesi","Berapa harga paket 5 Sesi?","Paket 5 Sesi dengan diskon 15%. Direkomendasikan untuk masalah sedang-kompleks. Lebih ekonomis dan memberikan hasil optimal dengan konsistensi terapi selama 2-3 bulan.","paket,5,sesi,diskon",7
pricing,"Durasi Paket 5 Sesi","Berapa lama paket 5 Sesi?","Paket 5 Sesi biasanya diselesaikan dalam 2-3 bulan, tergantung progress dan kebutuhan klien.","paket,5,sesi,diskon",6
pricing,"Paket 10 Sesi","Berapa harga paket 10 Sesi?","Paket 10 Sesi dengan diskon 20%. Direkomendasikan untuk masalah kompleks atau maintenance. Lebih ekonomis dan memberikan hasil optimal dengan konsistensi terapi selama 3-6 bulan.","paket,10,sesi,diskon",7
pricing,"Durasi Paket 10 Sesi","Berapa lama paket 10 Sesi?","Paket 10 Sesi biasanya diselesaikan dalam 3-6 bulan, tergantung progress dan kebutuhan klien.","paket,10,sesi,diskon",6
policies,"Pembatalan 24+ jam","Bisa batal kalau 24 jam sebelumnya?","Ya, pembatalan atau reschedule dapat dilakukan minimal 24 jam sebelum jadwal tanpa dikenakan biaya. Hubungi admin via WhatsApp.","pembatalan,cancel,24 jam",8
policies,"Pembatalan Mendadak","Bagaimana jika batal mendadak?","Pembatalan mendadak (<24 jam) dikenakan biaya 50% dari harga sesi. Pengecualian untuk kondisi darurat dengan bukti.","pembatalan mendadak,cancel,biaya",7
policies,"No Show","Bagaimana jika tidak datang?","No-show tanpa pemberitahuan dikenakan biaya 100%. Sangat disarankan untuk menginformasikan jika tidak bisa hadir.","no show,tidak datang,absent",7
policies,Reschedule,"Bisa reschedule?","Ya, reschedule dapat dilakukan maksimal 2x per booking. Minimal 24 jam sebelum jadwal. Hubungi admin untuk jadwal baru.","reschedule,ganti jadwal,ubah jadwal",8
policies,"Force Majeure","Bagaimana jika bencana alam?","Untuk kondisi force majeure (bencana alam, pandemi), khusus reschedule diberikan tanpa biaya tambahan dengan bukti yang valid.","force majeure,bencana,darurat",6
policies,"Privasi Data","Bagaimana privasi data dijaga?","Kami menjamin kerahasiaan 100%. Data dan isi sesi tidak dibagikan ke pihak manapun tanpa izin tertulis. Mengikuti kode etik profesi dan standar privasi internasional.","privasi,privacy,data,kerahasiaan",9
policies,"Rekaman Sesi","Apakah sesi direkam?","Tidak ada rekaman tanpa persetujuan tertulis klien. Jika diperlukan untuk kepentingan terapi, akan diminta izin terlebih dahulu dan rekaman disimpan secara aman.","rekaman,recording,sesi",7
policies,"Medical Records","Bagaimana catatan medis?","Catatan medis disimpan dengan enkripsi dan hanya diakses oleh terapis yang menangani. Data tidak dibagikan tanpa consent tertulis.","medical records,catatan medis,data",7
policies,"Konfirmasi Booking","Bagaimana konfirmasi booking?","Setelah pembayaran, konfirmasi booking dikirim via WhatsApp berisi: tanggal, waktu, lokasi/link meeting, dan instruksi persiapan.","booking,konfirmasi,pembayaran",8
policies,"Keterlambatan Klien","Bagaimana jika saya terlambat?","Keterlambatan >15 menit dapat mengurangi waktu sesi. >30 menit dianggap no-show. Mohon informasikan jika ada kendala.","terlambat,late,delay",6
policies,"Minimum Age","Berapa minimal umur?","Minimal 5 tahun untuk hipnoterapi anak. Anak <12 tahun wajib didampingi orang tua/wali selama sesi.","umur,age,anak",7
process,"Konsultasi Awal","Apa yang terjadi saat konsultasi?","Konsultasi awal (15-30 menit) mencakup: anamnesis masalah, riwayat kesehatan, ekspektasi klien, penjelasan proses terapi, dan perencanaan treatment.","konsultasi,anamnesis,assessment",8
process,"Persiapan Pre-Session","Apa persiapan sebelum sesi?","Sebelum sesi: istirahat cukup, makan ringan 1-2 jam sebelum, pakaian nyaman, berwudhu (dianjurkan), kondisi rileks, datang 10 menit lebih awal.","persiapan,pre-session,sebelum",7
process,Induksi,"Apa itu tahap induksi?","Induksi adalah tahap membawa klien masuk ke kondisi trance dengan teknik relaksasi progresif, guided imagery, atau counting down. Proses lembut dan aman.","induksi,induction,tahap",7
process,Deepening,"Apa itu deepening?","Deepening memperdalam kondisi trance untuk mengakses pikiran bawah sadar lebih efektif. Menggunakan teknik visualisasi stairs, elevator, atau nature scene.","deepening,trance,dalam",6
process,"Terapi Sugesti","Apa yang dilakukan saat terapi?","Saat terapi: terapis memberikan sugesti positif sesuai tujuan, teknik reframing untuk mengubah perspektif, visualization untuk goal setting, dan anchoring untuk trigger positif.","terapi,sugesti,treatment",8
process,Awakening,"Bagaimana proses bangun?","Awakening adalah proses membawa klien kembali ke kondisi normal secara bertahap dengan counting up, memastikan klien merasa segar dan aware sepenuhnya.","awakening,bangun,akhir",6
process,Post-Session,"Apa yang dilakukan setelah sesi?","Setelah sesi: diskusi pengalaman, feedback, latihan self-hypnosis untuk di rumah, jadwal sesi berikutnya jika perlu, dan instruksi aftercare.","post-session,setelah,aftercare",7
process,Homework,"Apakah ada PR setelah sesi?","Ya, biasanya diberikan homework berupa: latihan self-hypnosis daily, journaling untuk track progress, practice teknik yang diajarkan, dan dzikir rutin.","homework,pr,latihan",6
process,"Sesi Pertama","Apa beda sesi pertama?","Sesi pertama lebih lama (90-120 menit) karena ada anamnesis lengkap, build rapport, edukasi tentang hipnoterapi, dan trial induksi untuk cek responsiveness.","sesi pertama,first session",7
process,"Sesi Lanjutan","Bagaimana sesi lanjutan?","Sesi lanjutan (60-90 menit) fokus pada terapi sesuai goal. Review progress, deepening issue-specific, advanced techniques, dan adjustment strategy.","sesi lanjutan,follow up",6
process,"Sesi Online","Bagaimana sesi online?","Sesi online via Zoom/Google Meet. Persiapan: internet stabil, ruangan tenang, headphone, posisi nyaman. Efektivitas sama dengan offline bila dilakukan dengan benar.","online,video call,virtual",8
process,"Sesi Offline","Bagaimana sesi offline?","Sesi offline di klinik dengan ruangan khusus yang nyaman, privat, dan kondusif. Tersedia reclining chair, aromatherapy, dan ambient music untuk relaksasi optimal.","offline,klinik,tatap muka",7
techniques,"Regression Therapy","Apa itu regression therapy?","Regression adalah teknik mengakses memori masa lalu untuk mengidentifikasi dan menyembuhkan akar masalah. Dilakukan dengan sangat hati-hati dan aman.","regression,masa lalu,therapy",8
age_specific,"Terapi Anak","Bagaimana terapi untuk anak?","Terapi anak menggunakan pendekatan play therapy, storytelling, dan visualisasi yang fun. Orang tua dapat mendampingi. Aman untuk anak 5+ tahun.","anak,child,kids",8
success,"Kesembuhan Anxiety","Ada contoh sembuh dari anxiety?","Banyak klien sembuh dari anxiety. Contoh: Ibu A (35) sembuh dari GAD setelah 4 sesi. Pak B (28) bebas panic attack setelah 3 sesi. Success rate anxiety 80-85%.","success,sembuh,anxiety",7
