category,topic,question,answer,keywords,priority
conditions,"Arachnophobia","Takut laba-laba parah banget, bisa sembuh?","Arachnophobia (spider phobia) adalah salah satu phobia paling umum, affecting 3-5% populasi. SYMPTOMS: Panic, screaming, freezing, avoidance saat lihat laba-laba bahkan di foto. IMPACT: Tidak bisa masuk basement, garage, atau outdoor activities. TREATMENT: (1) Cognitive reframing - laba-laba lebih takut ke kita, (2) Gradual exposure dalam trance: foto → video → toy spider → real spider dalam jar → real spider free, (3) Anchoring calm state, (4) Reprocessing traumatic spider encounter jika ada. SUCCESS RATE: 80-85% dalam 4-6 sesi. TIMELINE: Bertahap, tidak rush. Many clients akhirnya bisa tangani spider sendiri di rumah tanpa panic. Homework: spider documentaries untuk desensitization.","arachnophobia,takut laba-laba,spider phobia,takut spider",9
conditions,"Ophidiophobia","Fobia ular mengganggu aktivitas, bisa diterapi?","Ophidiophobia (snake phobia) mempengaruhi 1/3 populasi dalam berbagai tingkat. TRIGGERS: Lihat ular di TV, kebun, hiking trails, zoo. SYMPTOMS: Intense fear, avoidance outdoor activities, nightmares tentang ular. EVOLUTIONARY: Fear of snakes adalah biological predisposition untuk survival, tapi bisa excessive. TREATMENT: (1) Education tentang snake behavior untuk cognitive reframe, (2) Systematic desensitization dalam hypnotic trance, (3) Visualization safe interaction dengan non-venomous snake, (4) Eventually exposure ke real snake dengan handler professional. SUCCESS: 75-80% dapat hiking dan outdoor activities comfortably dalam 5-8 sesi. BENEFIT: Expand lifestyle possibilities - hiking, camping, traveling ke tropical areas.","ophidiophobia,takut ular,snake phobia,fobia ular",8
conditions,"Hemophobia","Takut darah sampai pingsan, bisa diatasi?","Hemophobia (blood phobia) unique karena 75% sufferers experience vasovagal syncope (pingsan) saat lihat darah. IMPACT: Menghindari medical procedures, tidak bisa donor darah, career limitation (medis, forensic). PHYSIOLOGY: Blood phobia trigger paradoxical response - blood pressure drop drastically. TREATMENT: (1) Applied tension technique - tense muscles untuk prevent fainting, (2) Gradual exposure: cartoon blood → fake blood → blood donation video → real blood test, (3) Hypnotic suggestion untuk vascular control, (4) Reframe blood as life-giving not dangerous. SUCCESS: 70-80% dapat medical procedures tanpa syncope dalam 6-10 sesi. UNIQUE: Need teach applied tension skill sebagai safety net. Most clients eventually bisa donor darah!","hemophobia,takut darah,blood phobia,pingsan",9
conditions,"Aquaphobia","Takut air dalam, tidak bisa berenang karena fobia","Aquaphobia (fear of water) ranging dari mild (deep water) hingga severe (tidak bisa mandi/shower). CAUSES: Near-drowning experience, parental fear transmission, no water exposure as child. IMPACT: No swimming, beach anxiety, career limitation (military, rescue). SEVERITY LEVELS: (1) Mild: deep water, (2) Moderate: cannot swim, (3) Severe: shower anxiety. TREATMENT: (1) Water safety education, (2) Breathing control hypnosis, (3) Gradual exposure imaginal: ankle-deep → waist → swimming pool → ocean, (4) Installing trust dan buoyancy suggestions, (5) Real exposure dengan lifeguard present. SUCCESS: 75% dapat learn swimming dalam 8-12 sesi combined dengan swim lessons. Timeline longer untuk severe cases. Many clients eventually love water activities!","aquaphobia,takut air,water phobia,tidak bisa renang",8
conditions,"Dentophobia","Takut dokter gigi parah, gigi rusak semua","Dentophobia (dental phobia) affecting 10-15% adults, leading to severe dental problems. CAUSES: Painful childhood dental experience, fear of needles, loss of control, embarrassment tentang dental condition. IMPACT: Tooth decay, gum disease, tooth loss, chronic pain, social embarrassment. TREATMENT: (1) Desensitization to dental stimuli: sound, smell, sight of instruments, (2) Pain control hypnosis - analgesia suggestions, (3) Dissociation techniques selama dental work, (4) Reprocessing traumatic dental memories, (5) Building trust dengan dentist. SUCCESS: 80-85% dapat dental cleaning dalam 4-6 sesi, major work dalam 8-10 sesi. COLLABORATION: Work closely dengan dentist yang experienced dengan anxious patients. Self-hypnosis audio for dental appointments. Life-changing results!","dentophobia,takut dokter gigi,dental phobia,dental anxiety",9
conditions,"Mysophobia","Obsesi takut kuman mengganggu hidup, bisa normal?","Mysophobia (germophobia/contamination OCD) adalah ketakutan excessive terhadap germs dan contamination. SYMPTOMS: Excessive handwashing (50-100x/day), avoidance public places, gloves di rumah, tidak bisa sentuh doorknobs. SEVERITY: Mild (frequent handwashing) hingga Severe (housebound, skin damage dari washing). OVERLAP: Often overlaps dengan OCD - butuh comprehensive assessment. TREATMENT: (1) Cognitive reframing tentang immune system, (2) Anxiety tolerance building, (3) Gradual exposure ke 'contaminated' objects dalam controlled setting, (4) Response prevention hypnotic suggestions, (5) Distress tolerance. SUCCESS: 60-70% significant reduction dalam 12-20 sesi. REALISTIC: Chronic condition - manage symptoms not complete cure. Maintenance sessions needed. Quality of life improves dramatically.","mysophobia,takut kuman,germophobia,OCD kontaminasi",8
conditions,"Nyctophobia","Anak takut gelap tidak bisa tidur sendiri","Nyctophobia (fear of dark) sangat umum pada children, 10-30% mengalaminya. AGE: Usually 2-12 years, most outgrow by adolescence, tapi some persist ke adulthood. CAUSES: Imagination overactive, scary stories/movies, separation anxiety, fear of unknown. IMPACT: Cannot sleep alone, nightlight dependency, fear-induced insomnia. TREATMENT CHILDREN: (1) Storytelling dengan brave characters facing darkness, (2) Imagination play - 'darkness as friend', (3) Gradual dark exposure with parent present, (4) Empowerment suggestions, (5) Night routine dengan safety objects. SUCCESS: 85-90% overcome dalam 4-8 sesi karena children very responsive. APPROACH: Playful, non-threatening, involve teddy bears atau comfort objects. Parents must not reinforce fear. Most children sleep independently after treatment!","nyctophobia,takut gelap,fear of dark,anak takut gelap",9
conditions,"Astraphobia","Takut petir dan guntur dari kecil, traumatis","Astraphobia (fear of thunder/lightning) affecting 2-5% population, more common di tropical regions. SYMPTOMS: Panic during storms, hiding, crying, hypervigilance tentang weather forecast. CAUSES: Traumatic storm experience, parental modeling, natural survival instinct gone excessive. TREATMENT: (1) Education tentang thunder/lightning science untuk reduce unknown, (2) Desensitization: soft thunder sounds → loud → real storm dengan support, (3) Reframing storm as nature's powerful beauty not dangerous, (4) Safe place visualization during storms, (5) Anchoring calm. SUCCESS: 70-80% dapat stay calm during storms dalam 5-8 sesi. PRACTICAL: Storm sounds exposure as homework. Many clients eventually enjoy watching storms dari jendela! Seasonal consideration: tratment before rainy season optimal.","astraphobia,takut petir,thunder phobia,lightning fear",8
conditions,"Thanatophobia","Takut mati berlebihan mengganggu hidup","Thanatophobia (death anxiety) adalah fear of death or dying yang excessive dan persistent. NORMAL VS PATHOLOGICAL: Normal untuk think about death occasionally, pathological ketika daily preoccupation dan avoidance behaviors. SYMPTOMS: Panic attacks ketika think about death, avoidance funeral/hospital, health anxiety, existential dread. CAUSES: Trauma, loss of loved one, midlife crisis, religious doubts. TREATMENT: (1) Existential therapy dalam hypnosis - explore meaning of life, (2) Acceptance of mortality sebagai natural, (3) Living fully di present moment, (4) Spiritual exploration (for Muslims: iman kepada akhirat), (5) Legacy work - what you want to leave behind. SUCCESS: 60-70% significant reduction dalam 10-15 sesi. DEEP WORK: This is existential issue, butuh patience dan philosophical exploration. For Muslims: strengthen iman tentang akhirat very helpful.","thanatophobia,takut mati,death anxiety,fear of death",8
conditions,"Emetophobia Detail","Takut muntah bikin gak bisa makan normal","Emetophobia detail impact: (1) EATING: Restrictive diet, avoid 'risky' foods, eating disorders, malnutrition, (2) SOCIAL: Cannot eat di restaurant, avoid bars/parties, (3) PREGNANCY: Avoid pregnancy karena morning sickness fear, (4) TRAVEL: Cannot travel karena motion sickness fear, (5) MEDICAL: Refuse chemotherapy atau anesthesia. SEVERITY: One of most debilitating phobias with lowest treatment-seeking. TREATMENT STAGES: (1) Stabilize eating patterns, (2) Interoceptive exposure ke nausea sensations, (3) Imaginal exposure ke vomit scenarios, (4) Cognitive reframe, (5) Eventually in vivo exposure. TIMELINE: 15-25 sesi karena very resistant phobia. SUCCESS: 60-70% dapat eat normally dan less avoidance. SUPPORT: Dietitian collaboration untuk nutritional rehabilitation.","emetophobia,takut muntah,eating restriction,food phobia",9
